Name,Image,Buy,Category,Source,Filename,Unique Entry ID
pink simple door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimpleER,qvNBxg3CEWvEnoNpZ
yellow simple door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimpleFR,t8gHx6QjK9tFMmMna
deep-green simple door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimpleGR,Gyibc6G9u5Zv4fMdJ
purple simple door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimpleHR,dmTdoj8NzL2jSKZHu
rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityAR,mbsrSkG43TP7tA6e5
white rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityBR,Mu7FQYgoRajRuL5BD
maple rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityCR,cuDwoeXKD2jdQEPvQ
black rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityDR,TKDhdqyJBdrz8yQt6
red rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityER,RddBzpZ8QEcLWD4Gv
blue rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityFR,8k4sCwWWqugmTYuw6
light-green rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityGR,n5cEgH77z99n3rT8i
pink rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityHR,GANZwLknoRyyegbLM
pale-purple rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityIR,HEczAiQ4dHwB5zh5i
green rustic door,,5000,Door,4th House Upgrade (Right Room),HouseDoorSimplicityJR,YyyhicaCZuYCAd4hm
wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardAR,4ovKGY9ZoiujvqkS8
maple wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardBR,zvWtASTxgTYBunTDz
red wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardCR,h4LK4FrT733y64FZz
green wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardDR,qj2PXQwBkjoDPMSDc
blue wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardER,okXxYSYZ8o2vceKQG
gray wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardFR,C2LhRZFynjh6x5gQB
beige wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardGR,N5LASg9qjhgexBMe7
white wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardHR,h2ja68uKd7TxdEwQE
pink wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardIR,gPykmDtFtSdxotvrk
purple wooden door,,5000,Door,4th House Upgrade (Right Room),HouseDoorStandardJR,oNx9giXYQZLfuCYq5
vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowAR,aqhHtKKvCQQpb834t
maple vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowBR,uKkrQ5yBYWQMmerB7
green vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowCR,DAwzGNJimCfi6XuPY
blue vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowDR,AJB8xQLjaJR2WrHBv
yellow vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowER,Aszgp3pAbCC75LNHd
red vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowFR,jtHKujXtSxTwgmgiY
white vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowGR,CxFPdgKzKg2ifRx62
black vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowHR,Z4efmoeAjzYLhTsKJ
purple vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowIR,JHMuJ2pSXBFsCGThM
cyan vertical-panes door,,5000,Door,4th House Upgrade (Right Room),HouseDoorVerticalWindowJR,CTyPWnQDRGqMcDEyf
windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowAR,28wnpfEyGZCvdDsmc
maple windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowBR,bTb3Quno8Hhs7ASK2
red windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowCR,Z4oGMDMqpFBdfYXsZ
green windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowDR,CHTZZvpsuYP2ZvEtm
blue windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowER,i5JLZk2vdr5jZ9nBC
gray windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowFR,Y7W4HKFy49BLvabBD
beige windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowGR,oMqf22Pf8fZzeoJdY
white windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowHR,ZovDjWHe8YSZZKinn
pink windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowIR,svRR2C9PSLt5ef3Su
purple windowed door,,5000,Door,4th House Upgrade (Right Room),HouseDoorWindowJR,kiK57D48BgFz2LdAh
blue steel staircase,,228000,Incline,Resident Services Upgrade,SlopeIronStairBlue,wEC52Lc5cf8TcamMB
blue-plank ramp,,128000,Incline,Resident Services Upgrade,SlopeWoodBlue,gHnYrhHS9A7MrPdpr
brick staircase,,198000,Incline,Resident Services Upgrade,SlopeBrickStair,A8AfTzxqpvzfcMeC5
log staircase,,168000,Incline,Resident Services Upgrade,SlopeWoodStair,wk6oQREwMmRAmkTWJ
natural ramp,,98000,Incline,Resident Services Upgrade,SlopeNatural,m7jAPxsGCRgSWo6Ng
red steel staircase,,228000,Incline,Resident Services Upgrade,SlopeIronStair,2nygbmutbmBfuzEXp
stone staircase,,168000,Incline,Resident Services Upgrade,SlopeStoneStair,4zszj8KsBNe2XgeGq
white-plank ramp,,128000,Incline,Resident Services Upgrade,SlopeWood,aR8pTDNtanxDQt7MY
red tile roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StandardA,uifwByFWdDXnTJ4vp
pink tile roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StandardB,ve7xChDBdMDgb6nTS
yellow tile roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StandardC,2aQvQYwCsSQyRGyvF
green tile roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StandardD,pEWWGqpXPdLucubvS
aqua tile roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StandardE,Qnx2RexRkQSfFnLuB
blue tile roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StandardF,B7gS5WW3ksnrfNeXK
purple tile roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StandardG,3dBXpZsj6tD2dBzwj
black tile roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StandardH,aEXiJy3tnSJWNTBkv
grey stone roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StoneA,ab33Skrb5b7oeha7y
beige stone roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StoneB,rJ4yqFWLmk6ykB5Et
orange stone roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StoneC,ifhZHe9jHujeiSgAu
red stone roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StoneD,zPrrQagfzwkhtnAZT
blue stone roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StoneE,2q8sqokbgGi3mebNb
green stone roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StoneF,T85hEMqZDuz32hnS2
brown stone roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StoneG,mapwfPNGnhg62uQkt
black stone roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04StoneH,hyshRxYSTue2YG2zE
golden-brown thatch roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04ThatchedA,roxKGs7uRQw2pw8to
brown thatch roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04ThatchedB,N9gATxvMvWX5HLEhS
orange thatch roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04ThatchedC,KehTqxnW4g25qgMzj
fresh-grass thatch roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04ThatchedD,Z5NELbfAsKrPcwy5L
gray thatch roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04ThatchedE,PpodDcgiEgAJiDiSS
white thatch roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04ThatchedF,CGCfToQFCeeeMkRWc
deep-green thatch roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04ThatchedG,vc6xgYJWGgA9cTkB7
black thatch roof,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04ThatchedH,53msS63AkP5L46Bq7
orange curved shingles,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04WesterntileA,yfLcN39wQrmNt8WHH
pink curved shingles,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04WesterntileB,Pcg6fSeBJ5C92kLPs
yellow curved shingles,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04WesterntileC,n5Gc39GsgiLg4ofb2
green curved shingles,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04WesterntileD,zH9xBNwrWkv4JfBH3
blue curved shingles,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04WesterntileE,mprPiQG9puuaCguod
beige curved shingles,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04WesterntileF,jX9sAaudmHztd6WoQ
brown curved shingles,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04WesterntileG,zKQZJpWoGzgw7orRW
black curved shingles,,5000,Roofing,3rd House Upgrade (Left Room),HouseRoofPA04WesterntileH,BdGehD5vw6WxG8efX
common exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StandardA,tvSkijt9ictdZ5haB
red-trim common exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StandardB,ckT8w7sPNqY2aRMcH
blue-trim common exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StandardC,9gtBjJE4tYb6wQczz
gray-trim common exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StandardD,JfXXtqNSk5D2jYMYf
yellow common exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StandardE,BGfRq5YPPAt93qsms
pink common exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StandardF,ceKL4XwfZzkGoYpg9
red common exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StandardG,cwEx7XyAwefNQJ8Rr
black common exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StandardH,di7Pmwx9aDN4v4Xfc
cobblestone exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StoneA,ZH4zSM5t8CkRN6WL7
chic cobblestone exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StoneB,Lms2QszBWsfaCCxGf
brown cobblestone exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StoneC,NL3LEQdCu2TtcE9eW
red cobblestone exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StoneD,xXRQfdAGyLJCXSbY6
orange cobblestone exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StoneE,Xs4kXRbnMnnkzzdGm
blue cobblestone exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StoneF,eTg7RcPdjkGPBeWL4
green cobblestone exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StoneG,Jiy9DpvuhLX6skBrR
gray cobblestone exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StoneH,8GYy5WLx9jCpap6uY
white stucco exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StuccoA,QkWc3tQAiWrNhewAw
beige stucco exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StuccoB,qbKmPn2exhSsqLCw5
gray stucco exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StuccoC,niRaBvHzn59TEuTtu
red stucco exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StuccoD,c27kqMPWnha8RjEki
blue stucco exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StuccoE,g6d8pc3feddvfd3wm
yellow stucco exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StuccoF,78XQwM8DMwK8YsJig
pink stucco exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StuccoG,xmPeJk2bKkAWYtF64
black stucco exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04StuccoH,gJeYNSQ4cBQuMiJXS
chalet exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04WoodframeA,RBTZCSQfgD2vQH3Ze
brown chalet exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04WoodframeB,xAmRhhZacLmi3ySCm
red chalet exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04WoodframeC,cA9eF8iCxf8nJhZMy
light-blue chalet exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04WoodframeD,9SCJMuao7JJBS3iry
yellow chalet exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04WoodframeE,t7eP9mfhqemhFXnBh
orange chalet exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04WoodframeF,ug4QTydifE3YXJqHR
cream chalet exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04WoodframeG,KAwpDuD4BQAodaghb
black chalet exterior,,5000,Siding,5th House Upgrade (2nd Floor),HouseWallPA04WoodframeH,kYAfpnwSRtZfZs4SG